airport_id,airport_code,airport_name,address,city,state,longitude,latitude
11641,FAY, Fayetteville Regional/Grannis Field,400 Airport Rd,Fayetteville,NC,-78.88027,34.99122
11648,FCA, Glacier Park International,4170 Hwy 2 East,Kalispell,MT,-114.25508,48.31142
11684,FKL, Venango Regional,1560 Airport Rd,Frankliln,PA,-79.86036,41.37787
11695,FLG, Flagstaff Pulliam,6200 S Pulliam Dr,Flagstaff,AZ,-111.67122,35.13845
11697,FLL, Fort Lauderdale-Hollywood International,100 Aviation Blvd,Fort Lauderdale,FL,-80.15275,26.07258
11699,FLO, Florence Regional,2100 Terminal Dr,Florence,SC,-79.72389,34.18536
11711,FMN, Four Corners Regional,1300 W Navajo St,Farmingon,NM,-108.22994,36.74125
11719,FNL, Northern Colorado Regional,4900 Earhart Rd,Loveland,CO,-105.01134,40.45183
11721,FNT, Bishop International,3425 W Bristol Rd,FLINT,MI,-83.74346,42.9655
11725,FOD, Fort Dodge Regional,1369 Nelson Ave,Fort Dodge,IA,-94.19255,42.55146
11726,FOE, Topeka Regional,6700 SW Topeka Blvd,Topeka,KS,-95.66361,38.95094
11762,FRD, Friday Harbor Airport,800 Franklin Dr,Friday Harbor,WA,-123.02436,48.52197
11775,FSD, Joe Foss Field,2801 Jaycee Ln,Sioux Falls,SD,-96.7417,43.58135
11778,FSM, Fort Smith Regional,6700 McKennon Blvd,Fort Smith,AR,-94.36744,35.33658
11823,FWA, Fort Wayne International,3801 W Ferguson,Fort Wayne,IN,-85.19514,40.97847
11833,FYU, Fort Yukon Airport,,Fort Yukon,AK,-145.25042,66.57149
11844,GAL, Edward G. Pitka Sr.,Airport Rd,Galena,AK,-156.93742,64.73618
11845,GAM, Gambell Airport,,Gambell,AK,-171.73282,63.76677
11856,GBD, Great Bend Municipal,2520 10th St,Great Bend,KS,-98.85917,38.34442
11865,GCC, Gillette Campbell County,2000 Airport Rd,Gillette,WY,-105.53936,44.34892
11867,GCK, Garden City Regional,301 N 8th,Garden City,KS,-100.72441,37.92752
11869,GCN, Grand Canyon National Park,Highway 64,Grand Canyon,AZ,-112.14696,35.95235
11879,GDV, Dawson Community,207 W Bell,Glendive,MT,-104.8072,47.13872
11884,GEG, Spokane International,9000 W Airport Dr,Spokane,WA,-117.53384,47.61986
11898,GFK, Grand Forks International,2787 Airport Dr,Grand Forks,ND,-97.17611,47.94926
11905,GGG, East Texas Regional,269 Terminal Circle,Longview,TX,-94.71149,32.38401
11908,GGW, Wokal Field Glasgow Valley County,100 Airport Rd,Glasgow,MT,-106.61482,48.21246
11921,GJT, Grand Junction Regional,2828 Walker Field Dr,Grand Junction,CO,-108.52673,39.12241
11931,GLH, Greenville Mid Delta,166 5th Ave,Greenville,MS,-90.98561,33.48288
11941,GLV, Golovin Airport,,Golovin,AK,-163.00717,64.55046
11952,GNU, Goodnews,,Goodnews,AK,-161.57744,59.11742
11953,GNV, Gainesville Regional,3880 NE 39th Ave,Gainesville,FL,-82.27178,29.69006
11973,GPT, Gulfport-Biloxi International,14035-L Airport Rd,Gulfport,MS,-89.07011,30.40728
11977,GRB, Green Bay Austin Straubel International,2077 Airport Dr,Green Bay,WI,-88.12959,44.48507
11980,GRI, Central Nebraska Regional,3743 Sky Park Rd,Grand Island,NE,-98.30964,40.96754
11982,GRK, Robert Gray AAF,8101 S Clear Creek Rd,Fort Hood/Killeen,TX,-97.82893,31.06724
11986,GRR, Gerald R. Ford International,5500 44th St SE,Grand Rapids,MI,-85.52281,42.88083
11995,GSO, Piedmont Triad International,6415 Bryan Blvd,Greensboro,NC,-79.9373,36.09775
11996,GSP, Greenville-Spartanburg International,2000 GSP Dr,Greer,SC,-82.21886,34.89567
11997,GST, Gustavus Airport,,Gustavus,AK,-135.70741,58.42527
12003,GTF, Great Falls International,2800 Terminal Dr,Great Falls,MT,-111.37069,47.482
12007,GTR, Golden Triangle Regional,2080 Airport Rd,Columbus,MS,-88.59137,33.45033
12012,GUC, Gunnison-Crested Butte Regional,711 Rio Grande Ave,Gunnison,CO,-106.93303,38.53394
12055,GYY, Gary/Chicago International,6001 W Industrial Pkwy,Gary,IN,-87.41279,41.61627
12061,HAE, Havasupai Airport,6079 County Rd 425,Hannibal,MO,-91.44368,39.72449
12087,HCR, Holy Cross Airport,,Holy Cross,AK,-159.77495,62.1883
12094,HDN, Yampa Valley,11005 RCR 51A,Hayden,CO,-107.21766,40.48118
12119,HGR, Hagerstown Regional-Richard A. Henson Field,18434 Showalter Rd,Hagerstown,MD,-77.7295,39.70794
12124,HHH, Hilton Head Airport,120 Beach City Rd,Hilton Head Island,SC,-80.69747,32.22436
12129,HIB, Range Regional,11038 Hwy 37,Hibbing,MN,-92.83899,47.3866
12132,HII, Lake Havasu City Airport,2330 N McCullogh,Lake Havasu City,AZ,-114.35828,34.57112
12973,HII, Lake Havasu City Airport,2330 N McCullogh,Lake Havasu City,AZ,-114.35828,34.57112
12134,HNL, Daniel K Inouye International,300 Rodgers Blvd,Honolulu,HI,-157.92241,21.31869
12173,HNL, Daniel K Inouye International,300 Rodgers Blvd,Honolulu,HI,-157.92241,21.31869
12141,HKB, Healy River,,Healy,AK,-148.96898,63.86621
12156,HLN, Helena Regional,2580 Skyway Dr,Helena,MT,-111.98275,46.60681
12171,HNH, Hoonah Airport,,Hoonah,AK,-135.4097,58.09609
12174,HNM, Hana Airport,Alalele Place,Hana,HI,-156.01444,20.79564
12175,HNS, Haines Airport,,Haines,AK,-135.52354,59.24383
12177,HOB, Lea County Regional,W Carlsbad Hwy,Hobbs,NM,-103.21703,32.68753
12184,HOM, Homer Airport,2336 Kachemak Dr,Homer,AK,-151.47658,59.64556
12185,HON, Huron Regional,426 15th St NW,Huron,SD,-98.22854,44.3852
12190,HOT, Memorial Field,525 Airport Rd,Hot Springs,AR,-93.09621,34.47803
12191,HOU, William P Hobby,7800 Airport Blvd,Houston,TX,-95.27889,29.64542
12195,HPB, Hooper Bay Airport,,Hooper Bay,AK,-166.14678,61.52418
12197,HPN, Westchester County,240 Airport Rd,White Plains,NY,-73.70757,41.06696
12206,HRL, Valley International,30026 Heritage Way,Harlingen,TX,-97.65439,26.2285
12207,HRO, Boone County,2524 Airport Rd,Harrison,AR,-93.15473,36.26152
12214,HSL, Huslia Airport,,Huslia,AK,-156.3875,65.70056
12217,HSV, Huntsville International-Carl T Jones Field,1000 Glenn Hearn Blvd,Huntsville,AL,-86.77311,34.64045
12223,HTS, Tri-State/Milton J. Ferguson Field,1449 Airport Rd,Huntington,WV,-82.55803,38.36667
12235,HUS, Hughes Airport,,Hughes,AK,-154.26319,66.04112
12244,HVN, Tweed New Haven,155 Burr St,New Haven,CT,-72.8871,41.2639
12245,HVR, Havre City-County,Airport Rd,Havre,MT,-109.76234,48.54299
12250,HYA, Barnstable Municipal-Boardman/Polando Field,480 Barnstable Rd,Hyannis,MA,-70.28036,41.66934
12252,HYG, Hydaburg Seaplane Base,,Hydaburg,AK,-132.82831,55.20632
12253,HYL, Hollis Seaplane Base,,Hollis,AK,-132.64609,55.48159
12255,HYS, Hays Regional,3950 E 8th St,Hays,KS,-99.27403,38.84494
12264,IAD, Washington Dulles International,1 Saarinen Circle,Dulles,VA,-77.45581,38.94453
12266,IAH, George Bush Intercontinental/Houston,2800 N Terminal Rd,Houston,TX,-95.33972,29.98047
12268,IAN, Bob Baker Memorial,,Kiana,AK,-160.43586,66.97938
12278,ICT, Wichita Dwight D Eisenhower National,2713 Air Cargo Dr,Wichita,KS,-97.43306,37.64994
12280,IDA, Idaho Falls Regional,2140 N Skyline Dr,Idaho Falls,ID,-112.07017,43.51456
12294,IGG, Igiugig Airport,,Igiugig,AK,-155.90177,59.32404
12297,IGM, Kingman Airport,7000 Flightline Dr,Kingman,AZ,-113.93806,35.25947
12315,IKO, Nikolski AS,,Nikolski,AK,-168.85,52.94167
12321,ILI, Iliamna Airport,,Iliamna,AK,-154.91096,59.7538
12323,ILM, Wilmington International,1740 Airport Blvd,Wilmington,NC,-77.90256,34.27061
12335,IMT, Ford,700 S Stephenson Ave,Iron Mountain,MI,-88.11454,45.81835
12339,IND, Indianapolis International,7800 Colonel H Weir Cook Dr,Indianapolis,IN,-86.29438,39.71733
12343,INL, Falls International Einarson Field,3214 2nd Ave E,International Falls,MN,-93.40307,48.56619
12363,IPL, Imperial County,1099 Airport Rd,Imperial,CA,-115.57875,32.83422
12365,IPT, Williamsport Regional,700 Airport Rd,Williamsport (Montoursville),PA,-76.9211,41.24184
12370,IRC, Circle City,,Circle,AK,-144.07581,65.83049
12375,IRK, Kirksville Regional,27161 Airport Trail,Kirksville,MO,-92.54497,40.09364
12389,ISN, Sloulin Field International,421 Airport Rd`,Williston,ND,-103.64235,48.17794
